starttime	seconds	ctime	dtime	ttime	wait
Tue Mar 13 18:27:24 2018	1520987244	129	15397	15526	0
Tue Mar 13 18:27:24 2018	1520987244	152	15637	15788	15534
Tue Mar 13 18:27:24 2018	1520987244	152	15637	15789	15511
Tue Mar 13 18:27:24 2018	1520987244	151	15639	15791	15573
Tue Mar 13 18:27:24 2018	1520987244	145	15646	15791	15522
Tue Mar 13 18:27:24 2018	1520987244	139	15652	15791	15536
Tue Mar 13 18:27:24 2018	1520987244	152	15641	15793	0
Tue Mar 13 18:27:24 2018	1520987244	103	15975	16079	15975
Tue Mar 13 18:27:24 2018	1520987244	152	15933	16085	15933
Tue Mar 13 18:27:24 2018	1520987244	101	16345	16446	16192
Tue Mar 13 18:27:24 2018	1520987244	158	16329	16488	16328
Tue Mar 13 18:27:24 2018	1520987244	158	16330	16489	16330
Tue Mar 13 18:27:24 2018	1520987244	157	16364	16521	16364
Tue Mar 13 18:27:24 2018	1520987244	111	16646	16757	16498
Tue Mar 13 18:27:24 2018	1520987244	144	16788	16932	16788
Tue Mar 13 18:27:24 2018	1520987244	152	16852	17004	16850
Tue Mar 13 18:27:24 2018	1520987244	131	16969	17100	16895
Tue Mar 13 18:27:24 2018	1520987244	101	17245	17346	17104
Tue Mar 13 18:27:24 2018	1520987244	112	17438	17550	17238
Tue Mar 13 18:27:24 2018	1520987244	145	17413	17558	0
Tue Mar 13 18:27:24 2018	1520987244	108	17478	17586	17296
Tue Mar 13 18:27:24 2018	1520987244	139	17717	17856	17717
Tue Mar 13 18:27:24 2018	1520987244	163	17718	17881	0
Tue Mar 13 18:27:24 2018	1520987244	110	17791	17902	17715
Tue Mar 13 18:27:24 2018	1520987244	110	17870	17981	17461
Tue Mar 13 18:27:24 2018	1520987244	104	17941	18044	0
Tue Mar 13 18:27:24 2018	1520987244	112	17937	18049	0
Tue Mar 13 18:27:24 2018	1520987244	102	18518	18620	17468
Tue Mar 13 18:27:24 2018	1520987244	161	18739	18900	0
Tue Mar 13 18:27:24 2018	1520987244	157	18792	18949	18792
Tue Mar 13 18:27:24 2018	1520987244	110	18868	18979	18723
Tue Mar 13 18:27:24 2018	1520987244	152	18848	19000	18847
Tue Mar 13 18:27:24 2018	1520987244	96	18920	19016	18767
Tue Mar 13 18:27:24 2018	1520987244	112	18981	19094	18835
Tue Mar 13 18:27:24 2018	1520987244	164	18941	19104	18940
Tue Mar 13 18:27:24 2018	1520987244	160	18946	19107	18946
Tue Mar 13 18:27:24 2018	1520987244	137	19041	19179	18897
Tue Mar 13 18:27:24 2018	1520987244	111	19081	19191	18903
Tue Mar 13 18:27:24 2018	1520987244	101	19145	19246	18966
Tue Mar 13 18:27:24 2018	1520987244	116	19150	19266	19000
Tue Mar 13 18:27:24 2018	1520987244	143	19487	19630	19486
Tue Mar 13 18:27:24 2018	1520987244	157	19476	19633	19476
Tue Mar 13 18:27:24 2018	1520987244	109	19535	19643	17279
Tue Mar 13 18:27:24 2018	1520987244	159	19491	19650	19491
Tue Mar 13 18:27:24 2018	1520987244	106	19814	19920	19660
Tue Mar 13 18:27:24 2018	1520987244	104	20034	20138	19704
Tue Mar 13 18:27:24 2018	1520987244	154	20070	20224	20069
Tue Mar 13 18:27:24 2018	1520987244	144	20207	20351	20206
Tue Mar 13 18:27:24 2018	1520987244	159	20197	20356	20196
Tue Mar 13 18:27:24 2018	1520987244	157	20204	20360	20203
Tue Mar 13 18:27:24 2018	1520987244	157	20205	20362	20204
Tue Mar 13 18:27:24 2018	1520987244	141	20420	20561	19962
Tue Mar 13 18:27:24 2018	1520987244	127	20647	20774	20539
Tue Mar 13 18:27:24 2018	1520987244	98	20816	20914	20535
Tue Mar 13 18:27:24 2018	1520987244	101	20878	20979	20385
Tue Mar 13 18:27:24 2018	1520987244	112	20897	21009	17464
Tue Mar 13 18:27:24 2018	1520987244	101	20968	21070	20613
Tue Mar 13 18:27:24 2018	1520987244	102	21033	21134	20554
Tue Mar 13 18:27:24 2018	1520987244	161	20974	21135	20973
Tue Mar 13 18:27:24 2018	1520987244	178	20958	21136	20957
Tue Mar 13 18:27:24 2018	1520987244	168	20971	21139	20970
Tue Mar 13 18:27:24 2018	1520987244	143	20998	21141	20851
Tue Mar 13 18:27:24 2018	1520987244	160	21169	21329	21168
Tue Mar 13 18:27:24 2018	1520987244	102	21229	21331	20817
Tue Mar 13 18:27:24 2018	1520987244	185	21407	21591	21406
Tue Mar 13 18:27:24 2018	1520987244	111	21493	21604	21169
Tue Mar 13 18:27:24 2018	1520987244	184	21520	21705	21519
Tue Mar 13 18:27:24 2018	1520987244	112	21593	21705	21239
Tue Mar 13 18:27:24 2018	1520987244	187	21764	21951	0
Tue Mar 13 18:27:24 2018	1520987244	160	22074	22234	22074
Tue Mar 13 18:27:24 2018	1520987244	174	22068	22243	22068
Tue Mar 13 18:27:24 2018	1520987244	172	22079	22251	22078
Tue Mar 13 18:27:24 2018	1520987244	184	22080	22265	0
Tue Mar 13 18:27:24 2018	1520987244	174	22103	22276	22102
Tue Mar 13 18:27:24 2018	1520987244	178	22100	22278	22100
Tue Mar 13 18:27:24 2018	1520987244	179	22105	22284	22104
